accession,species,ncbi_organism_name
GCF_900138285.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_017175795.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_024389635.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_005281705.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. bolletii
GCF_003582645.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_900131415.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900139645.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_900138955.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_001214025.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_001215165.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_900135385.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900137215.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_001216005.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_024390705.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_002799795.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_900131625.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_000270705.1,Mycobacterium abscessus,Mycobacteroides abscessus 3A-0731
GCA_000523875.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. bolletii 1513
GCF_900134205.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900138595.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCA_015024115.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_900137865.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900131655.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_900130645.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_003582845.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_900130895.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900133415.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. bolletii
GCF_900140925.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900135445.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_900141395.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900132315.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900132325.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_030513415.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_001215705.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_900138585.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_900139615.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900132335.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900133855.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_030342085.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_030342045.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_024390295.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_900138995.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_003582795.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_900131865.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_900140475.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900132375.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_900133115.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_001214045.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_900138915.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCA_015023935.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_002802805.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900132065.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_900133355.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_001217285.1,Mycobacterium abscessus,Mycobacteroides abscessus
GCF_900134175.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_900131185.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. abscessus
GCF_002799845.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. massiliense
GCF_900132745.1,Mycobacterium abscessus,Mycobacteroides abscessus subsp. bolletii
